,word,frequency
2223,feels,127
780,especially,127
7050,"wine,",126
2398,"papaya,",126
1853,away,126
2416,drinks,126
3767,"juice,",126
1398,feel.,126
8037,"cherries,",126
239,wood,125
10890,sourness,125
1330,quickly.,125
3456,--,125
1322,moderately,124
3313,depth,124
4242,"cherry,",124
543,"flavors,",124
391,brew.,124
1386,although,123
26,2019,123
518,wet,123
201,hit,123
1152,"stout,",123
2033,hits,123
1620,perhaps,123
2559,ipas,122
1300,ton,122
3505,oz.,122
1002,average,122
3267,served,122
3152,fine,121
2990,tangerine,121
190,day,121
2436,out.,121
2377,despite,121
2392,"hazy,",120
5943,–,120
4651,typical,120
2292,"juicy,",120
839,liquid,120
1700,point,120
81,found,120
2394,classic,119
1663,given,119
3847,cream,119
2372,16oz,118
810,jet,118
320,ruby,118
4668,wild,118
776,too.,118
3226,hill,118
2198,starts,118
2720,off-white,118
1551,woody,117
990,l:,117
3777,pink,117
584,always,117
1833,done,117
259,warm,117
558,viscous,117
701,things,116
1102,delicious.,115
553,aftertaste,115
779,able,115
2605,straw,115
3082,date,115
3479,mixed,115
1610,behind,114
3772,passion,114
2751,"soft,",114
2716,dated,114
1942,mellow,113
1228,straight,113
1402,across,112
2664,refreshing,112
5763,"raisins,",112
1993,initial,112
737,whole,111
2582,"this,",111
2025,bad,111
374,whiskey,110
6967,funk.,110
3858,large,110
350,chewy,110
1458,drink.,110
371,add,110
1294,snifter,109
2349,can.,109
3609,juice.,109
1370,fudge,109
2667,"me,",108
1399,completely,108
1529,time.,108
977,burn,108
3317,grassy,108
585,thought,108
2141,unique,107
1135,review,107
5608,ml,107
666,couple,106
1817,"licorice,",106
3731,prefer,106
122,barrel.,105
1575,again.,105
5422,lambic,105
1453,put,105
1729,interesting,105
2448,expect,105
218,easily,105
2514,lacing.s:,105
1420,anything,105
3111,"melon,",105
2483,takes,104
6893,"hay,",104
18,oil,104
3270,syrupy,104
837,short,104
671,came,103
906,"pour,",103
6890,barnyard,103
261,slick,103
531,"earthy,",103
2350,ne,102
2299,next,102
2593,malt.,102
301,"front,",102
2663,citrus.,102
1198,since,102
608,let,102
1031,massive,102
1282,chili,102
6945,750ml,102
692,least,102
3177,lovely,101
771,"raisin,",101
2322,"dank,",101
148,rating,101
1390,sweeter,100
3466,amazing.,100
3321,bready,100
517,oaky,100
1247,expected.,100
98,middle,100
325,fizzy,100
908,plus,99
716,second,99
246,aftertaste.,99
