,word,frequency
4634,"beers,",62
700,barrels,62
3374,julius,62
4737,creamy.,62
3997,seek,61
5619,"fresh,",61
799,"plum,",61
2108,among,61
2629,sugary,61
2262,"wow,",61
1859,"complexity,",61
1153,went,61
7133,"nuts,",61
780,considering,61
634,night,61
3112,linger,61
1130,several,61
2960,done.,61
3075,tones,61
7259,complexity.,60
2782,"expected,",60
1795,background.,60
1648,"pepper,",60
1386,live,60
8109,"grapes,",60
1329,visible,60
709,"there,",60
1218,tad,60
3768,zest,60
6447,offering,60
188,release,60
655,heady,60
4027,bought,60
4028,cans,60
13529,raspberries,60
12076,ale.,60
2349,"chewy,",59
5475,brownie,59
4956,pithy,59
3652,.,59
2783,l,59
10678,"herbal,",59
2962,friend,59
5296,purple,59
3243,be.,59
2301,...,59
2580,citrus,59
2673,peel,59
3967,overpowering,59
2741,stands,59
1742,"smoke,",59
2601,flavour,59
11317,leather,59
654,remember,59
6175,bring,59
1757,brewery.,59
510,"heat,",59
2722,addition,58
2287,neipa,58
270,"figs,",58
1259,rounded,58
4225,backbone,58
752,integrated,58
625,thick.,58
4184,"time,",58
9323,plum,58
1513,higher,58
1232,booze.,58
2899,triple,58
10510,reddish,58
2688,dipa.,58
3167,"malty,",58
856,chance,58
4013,"all,",58
1521,isn’t,57
864,vanilla,57
4973,enjoyable.,57
3107,hopped,57
159,show,57
1812,become,57
4515,down.,57
851,marshmallow,57
4264,texture.,57
6886,"acidity,",57
3430,tall,57
4072,bittersweet,57
2710,6,56
500,"deep,",56
2683,excellent.,56
3567,past,56
1920,film,56
339,front;,56
1459,top.,56
577,"vintage,",56
1015,guess,56
1283,exceptional,56
4302,appearance.,56
3655,perfect.,56
1547,cinnamon.,56
601,ounce,56
380,presence.,56
2036,"through,",55
659,times,55
4974,peaches,55
223,wanted,55
1663,front.,55
1849,used,55
13907,"raspberries,",55
2702,drying,55
1537,leads,55
4265,lower,55
2462,pronounced,55
1814,particularly,54
1482,together.,54
1276,expecting,54
6136,tangy,54
2058,sugar.,54
3159,2020,54
1613,seemed,54
2026,combination,54
2277,dangerously,54
3144,medium-light,54
2725,dankness,54
1117,"oily,",54
2454,"heavy,",54
5615,raisins,54
4475,lively,54
9359,"yeast,",54
4481,"bread,",54
1479,incredible.,54
3414,effervescence,54
1511,single,54
2208,"tongue,",54
1596,finished,53
2010,harsh,53
1524,thicker,53
2088,original,53
2700,pith,53
1039,i’d,53
3737,tasty.,53
1054,stuff.,53
265,smelled,53
461,"booze,",53
4906,"had,",53
818,absolute,53
863,bba,53
817,warms.,53
5113,wait,53
2500,rings,53
3812,carb.,53
4228,remains,53
4526,underlying,53
850,wonderfully,53
1234,boozy.,52
5865,bomber,52
3852,maple.,52
3326,"lime,",52
1539,undertones,52
93,brewed,52
1058,outstanding.,52
1408,imagine,52
854,hope,52
1018,balances,52
4060,use,52
4867,keeps,52
2917,4.5,52
330,legs,52
5135,open,52
1396,bar,51
7413,semi,51
728,stand,51
3012,elements,51
4040,background,51
7759,reminiscent,51
1641,amazingly,51
2265,raw,51
3500,turbid,51
1900,"strong,",51
6963,collar,51
3098,zesty,51
1678,"forward,",51
2941,10,51
3499,ring.,51
3102,"oranges,",51
1545,form,51
1299,works,51
1361,dominated,51
1785,"smell,",51
3297,burst,51
13884,"raspberry,",51
558,surface,51
10922,2013,51
3053,gorgeous,50
1754,smoke,50
7972,"cloudy,",50
1707,spot,50
4054,freshly,50
9898,finishing,50
48,"espresso,",50
4546,aspect,50
595,now.,50
1120,so.,50
3304,prickly,50
604,"up,",50
2502,yeasty,50
319,edges,50
4108,basically,50
2539,available,50
2663,fridge,50
199,phenomenal,50
557,slow,50
4607,usual,50
5895,seen,50
1052,can’t,49
3138,soon,49
4862,fruitiness,49
5363,sides,49
1261,light.,49
4759,"tropical,",49
1045,somehow,49
7755,barley,49
2642,didn’t,49
9679,while.,49
75,rated,49
984,fresh.,49
6035,them.,49
3673,amounts,49
2056,giving,49
309,fully,48
2506,papaya,48
6093,grainy,48
1901,booziness,48
1215,potent,48
487,blanket,48
6079,soy,48
6346,4.25,48
82,local,48
4484,bursting,48
14314,ddh,48
6896,sours,48
124,continues,48
2555,powerful,48
6610,instead,48
6686,"peaches,",48
1097,"delicious,",48
2057,provides,48
3424,pleasure,48
787,likely,48
3110,bit.,48
11696,"wheat,",48
6462,copper,48
5614,complex.,48
19074,cognac,48
2000,pop,48
4280,dissipated,48
2243,week,48
9073,22,48
7158,"dates,",47
2211,sipping,47
1279,blended,47
2241,excited,47
1419,lucky,47
2264,"resin,",47
3109,dominate,47
1156,bean,47
1528,entire,47
11356,"carbonated,",47
3949,day.,47
1928,"first,",47
12711,wine.,47
315,away.,47
2054,taking,47
534,years.,47
2314,resiny,47
4051,help,47
10525,375ml,47
6109,mahogany,47
469,pouring,47
2300,face,46
1060,recommend,46
3551,mango.,46
1701,"stouts,",46
6268,feeling,46
4115,much.,46
970,breakfast,46
2409,ends,46
5106,whiff,46
1914,peanut,46
1424,otherwise,46
6542,"upfront,",46
1510,trade,46
3798,growler,46
1195,mouth.,46
1834,turns,46
1222,rocky,46
1708,on.,46
2612,+,46
3891,forms,46
4371,sure.,46
651,treat,46
5569,four,45
290,ark,45
4568,fuller,45
800,flavors;,45
12426,jammy,45
2408,bomb.,45
1295,rest,45
1305,usually,45
3709,milky,45
210,present.,45
3892,bubble,45
1975,soaked,45
3289,"fluffy,",45
12467,hay,45
3079,10%,45
658,"that,",45
482,"sip,",45
5432,kick,45
2826,carbonation;,45
6592,earthiness.,45
2994,throughout.,45
504,mind,45
1751,definite,45
5929,late,44
932,year.,44
351,body;,44
7029,apricots,44
1206,thank,44
629,dominates,44
5683,drinking.,44
154,falls,44
965,"marshmallow,",44
493,"out,",44
966,back.,44
4012,side.,44
1040,heard,44
156,adjuncts,44
3958,in.,44
2825,superb,44
3558,either,44
2547,appearance:,44
8289,nelson,44
1784,pleasantly,44
1790,"opaque,",44
5824,pack,44
2328,sits,44
3394,carbonation.o:,44
3461,wow.,44
3232,lemony,44
3592,month,44
4482,banana,43
400,syrup.,43
584,overwhelming,43
5091,(and,43
2012,intensity,43
7053,tartness.,43
1363,"note,",43
2431,"still,",43
10903,fuzzy,43
2185,toward,43
1647,subdued,43
244,cacao,43
563,semi-dry,43
4262,note.,43
1798,"syrupy,",43
6869,"long,",43
899,lord,43
4898,"aromas,",43
6603,earthiness,43
5691,eventually,43
1805,impression,43
1921,lace.,43
950,possibly,43
2739,"slick,",43
8136,gueuze,43
3478,pineapple.,43
5965,spiciness,43
3021,impressed,43
3590,courtesy,43
12336,vinegar,42
3354,natural,42
1567,additional,42
2848,beer's,42
5145,extra,42
2448,degrees,42
1910,tight,42
5127,bubbles.,42
5227,stemmed,42
202,stronger,42
963,sense,42
6102,overwhelming.,42
271,follow,42
2111,spices,42
1617,"presence,",42
6852,head.smells,42
4953,bringing,42
6714,name,42
1679,notch,41
10816,sourness.,41
1238,"viscous,",41
2614,medium-full,41
1242,lived,41
1741,"powder,",41
3620,bigger,41
3288,"dense,",41
3905,home,41
5810,initially,41
635,said,41
4211,distinct,41
2195,clearly,41
4834,english,41
2396,"fine,",41
3840,brewing,41
3376,"pith,",41
1616,lack,41
5057,type:,41
64,dominant,41
6441,"berries,",41
1343,cola,41
3311,overripe,41
3717,blast,41
4651,offers,41
386,treat.,41
7537,cracker,41
2267,firm,41
5589,bakers,41
209,warmed,40
1841,alongside,40
10876,"vinegar,",40
8973,"drinkable,",40
385,molasses.,40
1440,shine,40
1529,seeking,40
6248,ipas.,40
4364,qualities,40
1395,craft,40
3011,"very,",40
2961,500ml,40
4035,wow!,40
9828,shot,40
3230,hold,40
7564,needs,40
2285,traditional,40
2313,"piney,",39
6051,packed,39
92,friends,39
5245,summer,39
3887,brought,39
6313,within,39
1208,sharing,39
2715,"candy,",39
4190,based,39
6169,bacon,39
7861,"grassy,",39
12583,grapes,39
1012,sherry,39
2810,date.,39
4403,nuanced,39
3446,"sure,",39
337,behind.,39
1389,retains,39
2596,"quickly,",39
3969,rate,39
7536,peach.,39
4857,stays,39
415,expectations,39
3156,refreshing.,39
1548,mid-palate,39
3265,dose,39
5209,drinkability,38
3322,nectarine,38
